Year,Distance,Owner,Fuel,Location,Drive,Type,Price,Brand,Model
2016.0,64759,1,PETROL,MH-12,Manual,HatchBack,545000,Maruti,Baleno
2016.0,40417,1,PETROL,DL-9C,Automatic,HatchBack,401000,Maruti,Wagon R
2018.0,68101,1,PETROL,TS-07,Manual,HatchBack,691000,Maruti,Baleno
2019.0,64853,2,PETROL,KL-45,Manual,Sedan,338000,Honda,City
2017.0,51642,1,DIESEL,UP-14,Manual,SUV,507000,Mahindra,Other
2018.0,24502,2,PETROL,WB-90,Manual,HatchBack,293000,Maruti,Alto K10
2016.0,60350,1,PETROL,TS-07,Manual,HatchBack,629000,Hyundai,Elite i20
2014.0,71000,2,PETROL,PB-10,Manual,HatchBack,234000,Maruti,Alto 800
2021.0,66161,2,PETROL,KA-01,Manual,Sedan,662000,Toyota,YARIS
2015.0,64154,1,PETROL,UP-32,Manual,HatchBack,325000,Maruti,Wagon R
2020.0,21270,1,DIESEL,GJ-01,Automatic,SUV,1064000,Mahindra,XUV 3OO
2010.0,90382,2,PETROL,AP-23,Manual,HatchBack,205000,Hyundai,Santro Xing
2018.0,49423,1,PETROL,KA-02,Manual,Sedan,810000,Honda,City
2016.0,47227,1,PETROL,KL-41,Manual,HatchBack,588000,Hyundai,Elite i20
2021.0,24236,1,PETROL,PB-70,Manual,SUV,677000,Renault,TRIBER
2018.0,86933,2,PETROL,UP-14,Manual,Lux_SUV,1221000,Hyundai,Other
2017.0,58157,1,DIESEL,TN-09,Manual,SUV,817000,Mahindra,Other
2020.0,35636,1,PETROL,MH-01,Automatic,HatchBack,809000,Toyota,Other
2017.0,45639,2,PETROL,MH-03,Manual,Sedan,428000,Maruti,Ciaz
2016.0,53355,1,PETROL,DL-1C,Manual,Sedan,678000,Honda,City
2017.0,88993,1,PETROL,MP-09,Automatic,HatchBack,619000,Maruti,Baleno
2022.0,2075,1,CNG,KL-01,Manual,SUV,552000,Maruti,Other
2014.0,59943,1,PETROL,DL-1C,Manual,SUV,446000,Renault,Duster
2020.0,20743,1,PETROL,KA-05,Manual,SUV,942000,Renault,Duster
2014.0,33869,1,DIESEL,KA-03,Manual,HatchBack,507000,Maruti,Swift
2016.0,71731,2,PETROL,HR-51,Manual,Sedan,627000,Honda,City
2019.0,25955,2,PETROL,WB-20,Automatic,HatchBack,565000,Hyundai,GRAND I10
2018.0,47942,1,PETROL,DL-10,Manual,SUV,844000,Ford,Ecosport
2014.0,63838,2,PETROL,UP-32,Manual,HatchBack,281000,Maruti,Wagon R
2012.0,50854,2,PETROL,DL-3C,Manual,Sedan,294000,Maruti,Swift Dzire
2020.0,18534,1,PETROL,KL-36,Manual,HatchBack,368000,Maruti,Alto
2016.0,118327,2,DIESEL,MH-14,Manual,HatchBack,613000,Hyundai,Elite i20
2020.0,22389,1,PETROL,UP-78,Manual,SUV,751000,Toyota,Other
2018.0,105759,2,DIESEL,KA-09,Manual,Lux_SUV,1196000,Mahindra,XUV500
2015.0,30790,1,PETROL,MH-12,Manual,HatchBack,253000,Maruti,Alto 800
2010.0,68137,1,PETROL,TN-07,Manual,Sedan,737000,Honda,City
2012.0,35125,2,PETROL,TN-07,Manual,HatchBack,308000,Hyundai,i10
2018.0,67281,2,PETROL,GJ-01,Manual,HatchBack,690000,Hyundai,Elite i20
2018.0,80229,1,CNG,MH-14,Manual,HatchBack,436000,Hyundai,NEW SANTRO
2018.0,22533,1,PETROL,TS-10,Manual,HatchBack,505000,Hyundai,NEW SANTRO
2019.0,27153,2,PETROL,RJ-36,Manual,HatchBack,486000,Hyundai,NEW SANTRO
2021.0,66065,1,PETROL,DL-8C,Manual,SUV,750000,Nissan,MAGNITE
2018.0,53612,2,PETROL,TN-02,Automatic,Sedan,591000,Honda,City
2017.0,23376,1,PETROL,MH-05,Manual,HatchBack,535000,Hyundai,Grand i10
2021.0,22542,1,PETROL,PB-91,Manual,SUV,1141000,KIA,SONET
2021.0,25239,1,DIESEL,TN-14,Automatic,SUV,1810000,Tata,Other
2020.0,37077,1,PETROL,KA-04,Manual,SUV,633000,Ford,FREESTYLE
2017.0,54791,1,PETROL,TS-07,Manual,HatchBack,331000,Maruti,Alto 800
2012.0,100274,1,DIESEL,BR-01,Manual,SUV,416000,Maruti,Ertiga
2016.0,74317,1,PETROL,HR-35,Manual,HatchBack,483000,Hyundai,Elite i20
2017.0,70660,1,PETROL,GJ-01,Automatic,Sedan,776000,Maruti,Ciaz
2019.0,57675,1,CNG,DL-8C,Manual,SUV,796000,Ford,Ecosport
2019.0,32033,1,PETROL,DL-9C,Automatic,HatchBack,593000,Hyundai,Grand i10
2010.0,99873,1,PETROL,HR-26,Manual,HatchBack,162000,Hyundai,i10
2018.0,10409,1,PETROL,MH-02,Automatic,HatchBack,486000,Maruti,Wagon R
2016.0,31130,1,PETROL,PB-08,Manual,HatchBack,461000,Honda,Jazz
2020.0,96537,2,PETROL,GJ-18,Manual,SUV,906000,KIA,SELTOS
2013.0,92379,1,DIESEL,RJ-14,Manual,SUV,362000,Renault,Duster
2014.0,26337,2,PETROL,UP-37,Manual,Sedan,621000,Maruti,Swift Dzire
2021.0,25725,1,PETROL,GJ-38,Automatic,SUV,858000,Nissan,MAGNITE
2019.0,15100,1,PETROL,HR-03,Manual,HatchBack,606000,Hyundai,Grand i10
2021.0,27546,1,PETROL,MP-09,Automatic,HatchBack,692000,Hyundai,GRAND I10
2018.0,32330,1,PETROL,HR-52,Automatic,HatchBack,449000,Maruti,Wagon R
2019.0,18152,1,PETROL,GJ-06,Manual,Sedan,689000,Honda,Amaze
2017.0,71321,2,PETROL,HR-26,Manual,Sedan,701000,Maruti,Dzire
2012.0,80172,2,PETROL,AP-29,Manual,HatchBack,197300,Maruti,Alto K10
2018.0,44602,1,PETROL,TS-07,Manual,HatchBack,654000,Maruti,Swift
2018.0,39299,1,PETROL,MH-12,Automatic,Sedan,901000,Toyota,YARIS
2012.0,52092,2,PETROL,KA-04,Manual,HatchBack,332000,Honda,Brio
2018.0,19158,1,PETROL,TN-59,Manual,Sedan,654000,Volkswagen,Ameo
2021.0,20044,1,PETROL,KA-04,Manual,HatchBack,675000,Renault,Kiger
2014.0,44752,1,PETROL,MH-03,Manual,HatchBack,353000,Maruti,Wagon R
2018.0,30732,1,PETROL,KA-04,Manual,HatchBack,262000,Datsun,Redi Go
2012.0,14799,1,PETROL,MH-01,Manual,Sedan,468000,Maruti,Swift Dzire
2018.0,43525,1,PETROL,KA-05,Manual,Sedan,674000,Maruti,Dzire
2017.0,92995,2,PETROL,HR-36,Manual,HatchBack,442000,Hyundai,Grand i10
2021.0,14261,1,PETROL,TN-14,Manual,HatchBack,763000,Hyundai,NEW I20
2013.0,9415,1,PETROL,GJ-32,Manual,Sedan,723000,Honda,Amaze
2018.0,17547,1,PETROL,MH-01,Automatic,HatchBack,488000,Maruti,Celerio
2017.0,49344,1,PETROL,GJ-08,Automatic,HatchBack,471000,Maruti,Celerio
2019.0,18690,1,PETROL,TS-12,Manual,HatchBack,751000,Hyundai,Elite i20
2018.0,83234,1,DIESEL,WB-26,Manual,SUV,526000,Tata,NEXON
2021.0,17752,1,PETROL,TN-06,Manual,Sedan,761000,Maruti,Ciaz
2021.0,97084,1,PETROL,KA-41,Manual,Sedan,422000,Honda,Amaze
2015.0,40791,2,PETROL,MH-01,Manual,Sedan,444000,Hyundai,Xcent
2020.0,35197,1,DIESEL,MH-03,Manual,HatchBack,787000,Tata,ALTROZ
2018.0,73081,1,DIESEL,UP-65,Manual,SUV,635000,Maruti,Vitara Brezza
2018.0,58165,2,PETROL,MP-04,Manual,HatchBack,383000,Maruti,Wagon R
2011.0,22866,1,PETROL,DL-8C,Manual,HatchBack,220000,Maruti,Wagon R
2017.0,54410,1,PETROL,DL-9C,Manual,HatchBack,496000,Maruti,Baleno
2017.0,14524,1,PETROL,KA-53,Manual,HatchBack,463000,Maruti,Wagon R
2015.0,66995,2,PETROL,MH-14,Manual,HatchBack,283000,Renault,Kwid
2017.0,75537,1,CNG,DL-8C,Manual,HatchBack,374250,Maruti,Wagon R
2017.0,39198,1,PETROL,TS-08,Automatic,Sedan,973000,Maruti,Dzire
2016.0,74270,2,DIESEL,MH-12,Manual,HatchBack,545000,Maruti,Baleno
2017.0,36573,3,PETROL,TN-14,Manual,HatchBack,610000,Maruti,Baleno
2010.0,64103,2,PETROL,KA-02,Manual,HatchBack,221000,Maruti,Other
2018.0,26158,1,PETROL,PB-91,Manual,HatchBack,343000,Maruti,Alto 800
2019.0,60299,1,PETROL,GJ-03,Manual,HatchBack,380000,Maruti,Alto
2017.0,32343,1,PETROL,MH-14,Automatic,HatchBack,603000,Maruti,Baleno
2015.0,123077,2,DIESEL,GJ-01,Manual,Sedan,569350,Maruti,Ciaz
2017.0,29201,2,PETROL,MH-02,Manual,HatchBack,561000,Hyundai,Elite i20
2017.0,71105,1,PETROL,MH-48,Automatic,Sedan,627000,Honda,City
2012.0,73399,1,PETROL,AP-23,Manual,Sedan,419000,Maruti,Swift Dzire
2013.0,41312,1,PETROL,AP-10,Manual,Sedan,451000,Maruti,Swift Dzire
2017.0,34102,1,PETROL,MH-03,Manual,HatchBack,624000,Maruti,Baleno
2011.0,69532,1,PETROL,KA-05,Automatic,HatchBack,343000,Hyundai,i10
2020.0,41465,2,DIESEL,HR-13,Manual,SUV,726000,Maruti,Vitara Brezza
2014.0,75638,2,PETROL,TS-13,Manual,HatchBack,378000,Maruti,Ritz
2019.0,51377,1,PETROL,TS-08,Automatic,Sedan,672000,Maruti,Dzire
2014.0,35872,1,PETROL,WB-02,Manual,Sedan,336000,Maruti,Swift Dzire
2015.0,74079,2,PETROL,GJ-06,Manual,HatchBack,428000,Honda,Jazz
2011.0,79275,1,PETROL,DL-8C,Manual,HatchBack,202000,Maruti,Wagon R
2018.0,27721,1,PETROL,DL-8C,Manual,HatchBack,497000,Hyundai,Grand i10
2018.0,21347,1,PETROL,DL-5C,Manual,HatchBack,559000,Maruti,Swift
2017.0,59811,1,PETROL,MH-05,Automatic,HatchBack,537000,Maruti,IGNIS
2018.0,89172,1,PETROL,GJ-05,Automatic,HatchBack,449000,Nissan,Other
2019.0,31867,1,PETROL,DL-8C,Manual,HatchBack,680000,Maruti,Baleno
2012.0,39845,1,PETROL,MH-02,Manual,HatchBack,320000,Hyundai,i20
2015.0,67182,2,PETROL,MH-12,Automatic,HatchBack,348000,Maruti,Alto K10
2018.0,69690,1,DIESEL,MH-47,Manual,Lux_SUV,1187000,Mahindra,XUV500
2019.0,66740,1,PETROL,GJ-05,Automatic,HatchBack,401000,Renault,Kwid
2014.0,70683,2,PETROL,UP-32,Manual,HatchBack,286000,Honda,Brio
2019.0,39280,2,PETROL,GJ-05,Manual,HatchBack,572000,Maruti,Swift
2019.0,41265,2,DIESEL,GJ-03,Manual,SUV,914000,Maruti,Vitara Brezza
2017.0,58942,1,PETROL,MH-12,Automatic,Sedan,802000,Hyundai,Verna
2014.0,36766,2,PETROL,KA-51,Manual,HatchBack,525000,Hyundai,i20
2016.0,33476,1,PETROL,MH-12,Manual,HatchBack,327000,Hyundai,Eon
2015.0,99951,2,PETROL,DL-1C,Manual,SUV,690000,Hyundai,Creta
2021.0,12060,1,PETROL,TN-09,Manual,HatchBack,667000,Tata,Tiago
2019.0,30214,1,PETROL,TN-58,Manual,HatchBack,477000,Tata,Tiago
2016.0,46706,1,PETROL,DL-2C,Manual,SUV,692000,Ford,Ecosport
2014.0,53706,1,PETROL,MH-15,Manual,HatchBack,327000,Maruti,Wagon R
2014.0,59973,1,PETROL,TS-07,Manual,HatchBack,440000,Hyundai,Grand i10
2020.0,61703,1,PETROL,PB-07,Manual,HatchBack,333000,Maruti,Alto
2015.0,43724,1,PETROL,KA-19,Manual,HatchBack,299000,Hyundai,Eon
2017.0,26371,1,PETROL,HR-30,Manual,HatchBack,529000,Maruti,Baleno
2017.0,114451,1,DIESEL,KA-13,Manual,Sedan,800000,Hyundai,Verna
2020.0,81389,1,CNG,MH-12,Manual,HatchBack,497000,Maruti,Celerio
2017.0,33921,1,PETROL,TN-12,Manual,SUV,722000,Ford,Ecosport
2020.0,47559,2,DIESEL,UP-32,Manual,SUV,762000,Mahindra,Other
2010.0,54671,1,PETROL,KA-03,Manual,HatchBack,233000,Maruti,Alto K10
2010.0,50831,3,PETROL,KA-51,Manual,HatchBack,241000,Hyundai,i10
2020.0,50393,1,CNG,MH-43,Manual,HatchBack,507000,Maruti,Celerio
2021.0,16860,2,PETROL,TN-12,Manual,SUV,1007000,Hyundai,VENUE
2020.0,69384,2,DIESEL,WB-20,Automatic,Sedan,676000,Maruti,Dzire
2016.0,52851,1,DIESEL,GJ-16,Manual,SUV,573000,Renault,Duster
2015.0,61979,1,PETROL,TS-09,Manual,HatchBack,277000,Maruti,Alto 800
2011.0,72666,1,PETROL,MH-12,Manual,HatchBack,237000,Hyundai,i10
